,siteid,Building Area [sf],Building Type,Cooling Estimated Load [sf / ton],Heating Estimated Load [sf / kBtu],Cooling Equipment Capacity [sf / ton],Heating Equipment Capacity [sf / kBtu]
0,100016,122970.0,Multifamily,609.0473998886135,114.66180153697259,1702.0069204152248,59.65464631445669
1,100201,87500.0,Office,586.5497609809386,123.9131407453189,1750.0,29.215358931552586
2,101127,49553.0,Multifamily,517.2057515928634,89.23029979637575,696.295081967213,46.87560601144433
3,101959,140598.0,Office,607.9364028241969,149.2830461856424,879.6538060479666,54.24305555555556
4,102217,108792.0,Retail,404.9267538814635,58.257805800179625,480.317880794702,40.96084337349398
5,102938,52641.0,School,329.1078115195424,51.57930947387974,1656.2454116413217,12.288646990575925
6,103148,71918.0,School,357.8814018247013,49.08030996501247,28767.2,12.819082283614042
7,103453,164179.0,Multifamily,410.6953227063198,38.617203852851965,2691.4590163934427,2.416968055276858
8,104111,28476.0,Retail,385.61669316818774,46.20386165820266,965.2881355932203,29.542820801980312
9,104148,45791.0,School,322.14123016644874,42.75195976951477,2348.25641025641,8.206272401433692
10,104916,14114.0,Retail,287.8182698522345,48.055868333661046,,19.494475138121548
11,105459,174600.72,Office,615.5018180185157,137.63225396705167,4687.267651006711,101.98640186915888
12,105601,29400.0,Multifamily,591.3003265444455,112.01112349642165,5087.238644556598,76.5194578049847
13,105632,80937.0,Multifamily,507.1630632098934,98.18561311693584,732.5720319806909,41.8146170596942
14,105795,54691.0,School,360.26388581190355,50.24899618634398,1875.12,110.35310734463276
15,106207,243000.0,School,301.75705487497356,39.25982933516639,1299.7548473367506,22.470175003825943
16,106260,16400.0,Retail,367.46417431751,78.14993134623586,607.4074074074074,34.526315789473685
17,106376,66500.0,Office,422.7712156105687,72.89001011001581,223.29173428843248,2.165149108772533
18,107545,45093.0,Multifamily,641.3358490546302,133.9208389114741,1329.7716526919032,61.33641649947291
19,107643,49563.0,School,322.9326675500954,50.61203608079181,1664.1186345831002,15.910053929121727
20,107666,98000.0,Retail,417.06193301545215,80.02751292276766,1854.8895899053628,2.520316839831293
21,108274,81512.0,Multifamily,564.4991860096725,106.74904401724058,7455.365853658538,34.92598067570752
22,108462,,School,,,,
23,108503,105630.0,School,265.5378908827266,31.411079342760072,4416.585365853658,27.929666842940243
24,108793,,Retail,,,,
25,108855,52096.0,School,407.2091801501405,87.1635261199167,5992.533335212237,365.85850942451395
26,109236,50026.0,School,374.5425688351661,58.01582234744459,5130.871794871795,427.1527985313581
27,109651,108800.0,Multifamily,663.853806862209,130.5478713738461,4629.787234042553,46.38195196398577
28,109765,7160.0,Retail,254.04739286042545,35.752170451414685,112.04861699769174,9.562744828304655
29,109835,9800.0,Retail,344.30232019075004,47.64445892317416,287.8824969400245,18.809980806142036
30,109933,141491.0,School,309.79819006214905,44.971557168299874,624.2571308817367,30.388307811258347
31,110564,33125.0,Retail,295.98771220537736,43.66200434108517,967.8361861167247,6.305920426422996
32,110719,32953.0,Retail,408.6971070626433,61.37007149094664,823.825,54.73920265780731
33,111582,23556.0,Retail,340.30729183646946,42.766656012917736,393.58395989974935,26.26086956521739
34,112077,266795.0,Office,433.0029894525428,72.3043684184976,4115.380907390625,34.820861062421606
35,112551,403566.0,Multifamily,588.5913892647292,104.17947647764643,905.0678876792973,7.952913680895088
36,112592,159293.0,Multifamily,584.2971935764635,120.9024336378206,1147.4860252612145,69.43205526389372
37,112660,149833.0,School,361.82793070937987,101.42578668546089,430.5133607891965,36.96750635316178
38,113050,237036.0,School,303.10760824944236,42.6300688429438,2372.5704447977364,46.02640776699029
39,113650,29581.0,School,297.1987441792565,26.538195160421367,,35.0660073342141
40,113826,160781.0,Multifamily,580.4105510987707,110.00743894166823,517.0229337058397,37.92969634142965
41,114032,21302.0,Office,421.68351282540567,87.89678561229901,343.25768765946015,13.733700820398756
42,114342,309574.0,Multifamily,508.22682302616164,56.80059711029734,673.352909189777,36.11016215798502
43,114495,7454.0,Retail,206.2290917917198,18.46369212884155,470.77894736842103,10.398995535714285
44,114617,15762.0,Office,506.781748004376,83.81215712609529,522.0645873585427,14.018953425802808
45,115438,353359.0,Multifamily,564.2769528280518,130.10391091272177,600.397592920354,42.321027990931185
